point;lat;lon;icon
BP Terciario;-16.49;-52.61;/static/img/marker.svg
Barra do Peixe;-16.49;-52.61;/static/img/marker.svg
Brasnorte;-12.87;-58.06;/static/img/marker.svg
Canarana;-13.52;-52.29;/static/img/marker.svg
Couto Magalhaes;-17.11;-53.13;/static/img/marker.svg
Coxipo;-15.62;-55.99;/static/img/marker.svg
Dardanelos;-10.15;-59.44;/static/img/marker.svg
Jaciara;-15.97;-54.96;/static/img/marker.svg
Jauru;-15.3;-58.83;/static/img/marker.svg
Juba;-14.83;-57.91;/static/img/marker.svg
Juina;-11.29;-58.74;/static/img/marker.svg
Lucas do Rio Verde;-13.01;-55.93;/static/img/marker.svg
Nobres;-14.72;-56.29;/static/img/marker.svg
Nova Mutum;-13.82;-56.07;/static/img/marker.svg
Paranaita;-10.35;-56.84;/static/img/marker.svg
Petrovina;-16.79;-54.03;/static/img/marker.svg
Rondonopolis;-16.47;-54.59;/static/img/marker.svg
Santana do Araguaia;-10.32;-50.39;/static/img/marker.svg
Sinop;-11.98;-55.52;/static/img/marker.svg
Sorriso;-12.57;-55.76;/static/img/marker.svg
Varzea Grande;-15.71;-56.18;/static/img/marker.svg
